happy1,id,travel,direction,born,sports,aware,morning_drink,breakfast,sleep,siblings,siblings_number,pets,beer,coffee,pineapple_pizza,pinky,os,hand,energy,shoes,phone,apartment_size,rooms,apps,countries,cb,food_money,season,drink_coffee,height,bother,happy2,tutorial_batch,time,major,morning_drink2,morning_drink_cat
6,marms1,40.0,nw,50.0,6.0,awake,tee,yes,8,yes,1,2,2,1,yes,7.0,microsoft,20.0,7,2.0,16.0,150.0,3,100,12,yes,190.0,spring,other,186.0,1,7,2025,12.15,uwi,tea,tea
7,mozar39,3.1,n,884.0,1.0,awake,matcha,yes,8,yes,2,5,2,3,do_not_mind,5.0,microsoft,20.0,6,4.0,16.0,55.0,2,55,7,yes,250.0,spring,sugar_milk,178.0,4,7,2025,12.15,uwi,tea,matcha
7,bonho3,1.0,s,408.0,5.0,awake,coffee,yes,8,yes,1,2,1,2,do_not_mind,6.0,both,20.0,7,10.0,15.0,18.0,0,73,7,yes,240.0,spring,milk,175.0,7,9,2025,12.15,uwi,coffee,coffee
7,merge1,40.0,se,39.0,4.0,tired,juice,yes,6,no,0,10,3,3,yes,6.0,both,20.0,6,6.0,16.0,54.0,0,20,15,yes,150.0,summer,milk,178.0,4,7,2025,12.15,uwi,other,juice/smoothie
6,aufde22,1.5,n,70.0,3.0,awake,tea,yes,8,yes,2,0,3,3,yes,6.0,microsoft,19.5,6,5.0,17.0,100.0,3,53,10,no,180.0,summer,milk,166.0,4,6,2025,12.15,uwi,tea,tea
7,schne20,0.5,w,108.0,3.5,awake,coffee,yes,7,yes,1,0,3,3,no,6.0,apple,19.0,7,8.0,15.0,200.0,1,57,12,yes,300.0,summer,milk,176.0,5,7,2025,12.15,uwi,coffee,coffee
6,gusta31,3.5,se,100.0,6.0,drowsy,coffee,yes,7,yes,3,1,2,2,yes,7.0,apple,20.0,7,6.0,16.95,82.0,2,40,7,yes,170.0,summer,milk,182.0,7,7,2025,12.15,uwi,coffee,coffee
4,bunde39,2.0,n,360.0,6.0,drowsy,coffee,yes,8,yes,2,7,4,4,no,6.0,both,15.0,6,5.0,15.0,80.0,4,30,9,no,80.0,fall,milk,168.0,7,6,2025,12.15,uwi,coffee,coffee
4,alste117,2.0,n,230.0,1.0,tired,tea,yes,7,yes,2,1,1,1,yes,6.0,apple,19.0,5,8.0,5.8,100.0,3,17,5,no,400.0,spring,black,196.0,6,5,2025,12.15,uwi,tea,tea
6,wecke15,0.2,ne,800.0,1.0,awake,coffee,yes,8,no,0,4,3,3,yes,4.5,neither,14.0,8,4.0,17.0,250.0,8,100,15,yes,300.0,spring,milk,170.0,8,7,2025,12.15,uwi,coffee,coffee
8,görli3,0.1,nw,120.0,0.0,awake,sparkling_water,yes,8,yes,2,5,2,2,yes,4.0,apple,18.0,8,4.0,15.4,70.0,4,30,16,yes,180.0,summer,other,168.5,7,9,2025,12.15,uwi,water,water
8,meise28,2.5,nw,500.0,2.0,awake,tea,yes,8,yes,2,2,3,3,no,4.0,microsoft,18.0,7,11.0,16.33,145.0,4,40,10,yes,161.0,summer,milk,170.0,2,8,2025,12.15,uwi,tea,tea
5,holun13,3.1,ne,237.0,2.0,drowsy,tea,yes,7,yes,2,9,1,1,yes,6.0,microsoft,19.0,2,5.0,17.0,60.0,3,26,2,no,200.0,spring,milk,165.0,4,2,2025,12.15,uwi,tea,tea
6,carlh9,1.0,sw,40.0,4.0,tired,water,yes,8,yes,1,0,2,2,do_not_mind,6.0,microsoft,18.0,6,7.0,17.0,30.0,0,41,16,no,180.0,fall,milk,156.0,8,7,2025,12.15,uwi,water,water
4,schar3,2.1,n,236.0,2.0,tired,tea,yes,8,yes,2,2,3,3,do_not_mind,5.5,apple,18.0,6,4.0,13.5,100.0,2,44,24,yes,45.0,summer,milk,167.0,8,5,2025,12.15,uwi,tea,tea
8,baere8,2.0,s,311.0,1.0,energized,water,yes,8,yes,2,2,2,3,no,5.5,microsoft,14.0,6,8.0,14.0,100.0,3,50,7,yes,120.0,summer,milk,163.0,7,8,2025,12.15,gess,water,water
4,marti2,2.0,n,573.0,2.0,awake,coffee,yes,8,yes,1,1,3,4,no,6.5,apple,20.0,6,6.0,14.5,62.0,1,32,31,yes,250.0,spring,other,180.0,2,4,2025,12.15,uwi,coffee,coffee
8,mettb20,0.5,e,350.0,12.0,drowsy,hot_water,no,8,yes,1,1,3,4,do_not_mind,7.5,apple,20.0,8,9.0,15.0,100.0,5,60,23,yes,60.0,spring,sugar_milk,164.0,3,7,2025,12.15,gess,water,water
6,achte38,0.2,e,153.0,2.0,awake,tea,yes,8,yes,1,6,2,2,do_not_mind,6.0,microsoft,21.0,6,8.0,15.5,275.0,8,43,15,yes,200.0,spring,other,179.0,10,6,2025,12.15,uwi,tea,tea
8,sophi16,3.0,nw,112.0,3.0,tired,water,yes,9,yes,2,1,3,4,do_not_mind,5.5,microsoft,19.0,4,8.0,17.0,98.0,3,61,10,no,200.0,summer,milk,185.0,9,8,2025,12.15,uwi,water,water
8,somme25,2.0,nw,48.0,8.0,tired,water,yes,8,no,0,5,3,3,yes,6.0,microsoft,21.0,6,7.0,15.0,60.0,4,30,15,no,200.0,spring,other,180.0,6,8,2025,12.15,gess,water,water
5,amspi13,1.0,ne,158.0,4.0,drowsy,tea,yes,6,yes,1,0,2,4,yes,5.5,apple,14.0,5,6.0,15.0,112.0,5,69,12,no,150.0,summer,milk,161.0,9,6,2025,12.15,uwi,tea,tea
6,jacqu1,3.0,nw,60.0,3.0,drowsy,coffee,yes,7,yes,1,3,3,3,no,5.0,apple,10.0,6,15.0,12.0,60.0,1,40,25,yes,1000.0,spring,milk,170.0,5,7,2025,12.15,uwi,coffee,coffee
8,baden3,0.4,ne,108.0,3.0,awake,tea,yes,9,yes,1,10,2,2,do_not_mind,7.4,apple,18.5,7,5.0,15.5,180.0,5,21,16,yes,200.0,spring,milk,177.0,6,7,2025,12.15,uwi,tea,tea
6,stein54,6.0,nw,800.0,2.0,awake,ice_cold_water,no,6,yes,2,3,1,1,do_not_mind,5.7,microsoft,18.0,4,3.0,16.0,50.0,1,60,6,yes,280.0,spring,milk,169.0,6,5,2025,12.15,gess,water,water
9,stein16,61.0,nw,61.0,6.0,awake,water,no,8,yes,1,2,4,4,do_not_mind,7.0,apple,22.4,6,3.0,15.4,140.0,1,127,22,yes,250.0,summer,other,188.0,7,8,2025,12.15,uwi,water,water
